"","OP_CODIGO","OP_PROVINCIA_CODIGO","OP_CANTON_CODIGO","OP_PARROQUIA_CODIGO","OP_TIPO","OP_AMBITO","OP_NOMBRE","OP_SIGLAS","OP_LISTA"
"1",1,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO UNION NACIONAL UNO                                                                                                                                                                              ","UN - UNO                                          ","1         "
"2",2,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO LIBERAL RADICAL ECUATORIANO                                                                                                                                                                     ","PLRE                                              ","2         "
"3",3,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO SOCIEDAD PATRIOTICA 21 DE ENERO                                                                                                                                                                 ","PSP                                               ","3         "
"4",4,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO CONCENTRACION DE FUERZAS POPULARES                                                                                                                                                              ","CFP                                               ","4         "
"5",5,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO DEMOCRACIA POPULAR - UNION DEMOCRATA CRISTIANA                                                                                                                                                  ","DP-UDC                                            ","5         "
"6",6,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO SOCIAL CRISTIANO                                                                                                                                                                                ","PSC                                               ","6         "
"7",7,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO RENOVADOR INSTITUCIONAL ACCION NACIONAL                                                                                                                                                         ","PRIAN                                             ","7         "
"8",10,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO ROLDOSISTA ECUATORIANO                                                                                                                                                                          ","PRE                                               ","10        "
"9",11,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO LIBERTAD                                                                                                                                                                                        ","PL                                                ","11        "
"10",12,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO IZQUIERDA DEMOCRATICA                                                                                                                                                                           ","ID                                                ","12        "
"11",14,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO ALFARISMO NACIONAL                                                                                                                                                                              ","AN                                                ","14        "
"12",15,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO MOVIMIENTO POPULAR DEMOCRATICO                                                                                                                                                                  ","MPD                                               ","15        "
"13",17,0,0,0,"PARTIDOS POLITICOS                                ","NACIONAL                                          ","PARTIDO SOCIALISTA - FRENTE AMPLIO                                                                                                                                                                      ","PS-FA                                             ","17        "
"14",18,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK - NUEVO PAIS                                                                                                                                                 ","MUPP-NP                                           ","18        "
"15",19,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO REALIDAD 2000                                                                                                                                                                                ","MR2000                                            ","19        "
"16",20,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO RENOVACION DEMOCRATICA                                                                                                                                                                       ","MRD                                               ","20        "
"17",21,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO CIUDADANOS NUEVO PAIS                                                                                                                                                                        ","MCNP                                              ","21        "
"18",22,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO TRANSFORMACION SOCIAL INDEPENDIENTE                                                                                                                                                          ","TSI                                               ","22        "
"19",23,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO NUEVO AMANECER                                                                                                                                                                               ","MNA                                               ","23        "
"20",24,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO PATRIA SOLIDARIA                                                                                                                                                                             ","MPS                                               ","24        "
"21",25,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO JUSTICIA                                                                                                                                                                                     ","MJ                                                ","25        "
"22",27,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO INQUILINOS POR LA PATRIA                                                                                                                                                                     ","MIPP                                              ","27        "
"23",28,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO INDEPENDIENTE AMAUTA JATARI                                                                                                                                                                  ","MIAJ                                              ","28        "
"24",29,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO INDEPENDIENTE NACIONAL POR LA CONCERTACION SOCIAL                                                                                                                                            ","MINCS                                             ","29        "
"25",30,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO DE INTEGRACION NACIONAL - MIN                                                                                                                                                                ","MIN                                               ","30        "
"26",32,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO PATRIOTICO SIMON BOLIVAR                                                                                                                                                                     ","MPSM                                              ","32        "
"27",34,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO POR LA SEGUNDA INDEPENDENCIA                                                                                                                                                                 ","MSI                                               ","34        "
"28",35,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","PPPP                                                                                                                                                                                                    ","OPP                                               ","35        "
"29",39,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO ESPERANZA TRANSFORMACION Y  ACCION                                                                                                                                                           ","META                                              ","39        "
"30",40,0,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","BINOMIO ROLDOS PADILLA                                                                                                                                                                                  ","RP                                                ","40        "
"31",201,0,0,0,"ALIANZAS                                          ","ALIANZA                                           ","PARTIDO LIBERAL RADICAL ECUATORIANO/MOVIMIENTO ESPERANZA TRANSFORMACION Y ACCION                                                                                                                        ","PLRE/META                                         ","2-39      "
"32",202,0,0,0,"ALIANZAS                                          ","ALIANZA                                           ","PARTIDO SOCIEDAD PATRIOTICA 21 DE ENERO/MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK-NUEVO PAIS                                                                                                           ","PSP/MUPP-NP                                       ","3-18      "
"33",10000000041,1,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO INDEPENDIENTE FUERZA  AZUAYA DE DESARROLLO                                                                                                                                                   ","MIFAD                                             ","41        "
"34",10000000201,1,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIAL CRISTIANO / IZQUIERDA DEMOCRATICA                                                                                                                                                        ","PSC/ID                                            ","6-12      "
"35",10000000202,1,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO POPULAR DEMOCRATICO / SOCIALISTA - FRENTE AMPLIO                                                                                                                                     ","MPD /PS-FA                                        ","15-17     "
"36",12600000045,1,260,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","FUERZA ECUATORIANA                                                                                                                                                                                      ","FE                                                ","45        "
"37",12600000048,1,260,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","POR TI CUENCA                                                                                                                                                                                           ","PTC                                               ","48        "
"38",15550000042,1,555,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO INDEPENDIENTE SOLIDARIO CAMPESINO PUCARA                                                                                                                                                     ","MISCP                                             ","42        "
"39",15560000043,1,556,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO FRENTE INDEPENDIENTE PROGRESISTA PONCE ENRIQUEZ                                                                                                                                              ","MFIPPE                                            ","43        "
"40",15560000044,1,556,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO Y ACCION DE PUEBLOS ORGANIZADOS                                                                                                                                                              ","MAPO                                              ","44        "
"41",15560000047,1,556,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO INDEPENDIENTE DE ACCION PARTICIPATIVA                                                                                                                                                        ","MIAP                                              ","47        "
"42",15560000203,1,556,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","DP-UDC/MAPO                                       ","5-44      "
"43",15560000204,1,556,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIAL CRISTIANO / MOVIMIENTO FRENTE  INDEPENDIENTE PROGRESISTA PONCE ENRIQUEZ                                                                                                                  ","PSC/MFIPPE                                        ","6-43      "
"44",19900000049,1,990,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","ASAMBLEAS DE FISCALIZACION GESTION Y TRANSPARENCIA GUACHAPALA                                                                                                                                           ","AFG                                               ","49        "
"45",20000000042,2,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO INDEPENDENCIA BOLIVARIANA                                                                                                                                                                    ","MIB                                               ","42        "
"46",20000000201,2,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA GRAN ALIANZA PROVINCIAL                                                                                                                                                                         ","UN - UNO/AN                                       ","1-14      "
"47",20000000202,2,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA BOLIVARIANA                                                                                                                                                                                     ","TSI /MIB                                          ","22-42     "
"48",20000000203,2,0,0,"ALIANZAS                                          ","ALIANZA                                           ","PEPITO                                                                                                                                                                                                  ","MIB /MR2000                                       ","42-19     "
"49",30000000041,3,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO INDEPENDIENTE ALLI KAUSAY                                                                                                                                                                    ","MIAK                                              ","41        "
"50",30000000201,3,0,0,"ALIANZAS                                          ","ALIANZA                                           ","1-4-5                                                                                                                                                                                                   ","UN - UNO/CFP/DP-UDC                               ","1-4-5     "
"51",30000000202,3,0,0,"ALIANZAS                                          ","ALIANZA                                           ","UNIDAD POPULAR                                                                                                                                                                                          ","MPD /PS-FA                                        ","15-17     "
"52",32350000203,3,235,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA UNION NACIONAL/DEMOCRACIA POPULAR -UNION DEMOCRATA CRISTIANA                                                                                                                                    ","UN - UNO/DP-UDC                                   ","1-5       "
"53",40000000041,4,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO DE IDENTIDAD CARCHENSE                                                                                                                                                                       ","M.I.C.                                            ","41        "
"54",40000000042,4,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO INDEPENDIENTE TRABAJO Y DEMOCRACIA                                                                                                                                                           ","T.D.                                              ","42        "
"55",40000000201,4,0,0,"ALIANZAS                                          ","ALIANZA                                           ","NUEVA ALTERNATIVA 6-14                                                                                                                                                                                  ","PSC/AN                                            ","6-14      "
"56",40000000202,4,0,0,"ALIANZAS                                          ","ALIANZA                                           ","LISTAS 10-5                                                                                                                                                                                             ","PRE /DP-UDC                                       ","10-5      "
"57",40000000203,4,0,0,"ALIANZAS                                          ","ALIANZA                                           ","IZQUIERDA UNIDA                                                                                                                                                                                         ","MPD /PS-FA                                        ","15-17     "
"58",40150000043,4,15,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO INTEGRACION POPULAR                                                                                                                                                                          ","M.I.P                                             ","43        "
"59",50000000201,5,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA CONCENTRACION DE FUERZAS POPULARES/SOCIALISTA - FRENTE AMPLIO                                                                                                                                   ","CFP/PS-FA                                         ","4-17      "
"60",50000000202,5,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIAL CRISTIANO/ALFARISMO NACIONAL                                                                                                                                                             ","PSC/AN                                            ","6-14      "
"61",60000000041,6,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO ACCION INDEPENDIENTE                                                                                                                                                                         ","MAI                                               ","41        "
"62",60000000043,6,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO ALIANZA DEL PUEBLO                                                                                                                                                                           ","MAP                                               ","43        "
"63",60000000046,6,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","PARTICIPACION Y ACCION INDEPENDIENTE                                                                                                                                                                    ","PAN                                               ","46        "
"64",60000000050,6,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","PROYECTO PATRIOTICO POPULAR                                                                                                                                                                             ","PPP                                               ","50        "
"65",60000000051,6,0,0,"MOVIMIENTOS NACIONALES                            ","NACIONAL                                          ","MOVIMIENTO FUERZA ACTIVA DEL DESARROLLO ECUATORIANO                                                                                                                                                     ","FADE                                              ","51        "
"66",60000000201,6,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA CONCENTRACION DE FUERZAS POPULARES/MOVIMIENTO CIUDADANO NUEVO PAIS                                                                                                                              ","CFP/MCNP                                          ","4-21      "
"67",60000000202,6,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIALISTA -FRENTE AMPLIO/MOVIMIENTO MINGA 2000                                                                                                                                                 ","PS-FA /MIN2000                                    ","17-47     "
"68",61900000203,6,190,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIEDAD PATRIOTICA 21 DE ENERO/MOVIMIENTO POPULAR DEMOCRATICO                                                                                                                                  ","PSP/MPD                                           ","3-15      "
"69",62050000047,6,205,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MINGA 2000                                                                                                                                                                                              ","MIN2000                                           ","47        "
"70",62050000204,6,205,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","ID /AN                                            ","12-14     "
"71",62050000205,6,205,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","MIN2000 /PS-FA                                    ","47-17     "
"72",62100000044,6,210,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO DE UNIDAD CORONEL ""AMBROSIO LASSO""                                                                                                                                                           ","MUCAL                                             ","44        "
"73",62100000206,6,210,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","DP-UDC/MUCAL                                      ","5-44      "
"74",62150000207,6,215,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","CFP/PSC                                           ","4-6       "
"75",62150000208,6,215,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","DP-UDC/MAI                                        ","5-41      "
"76",62200000209,6,220,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIALISTA FRENTE AMPLIO/SOCIEDAD PATRIOTICA 21 DE ENERO                                                                                                                                        ","PS-FA /PSP                                        ","17-3      "
"77",70000000041,7,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO CIVICO INDEPENDIENTE                                                                                                                                                                         ","MCI                                               ","41        "
"78",70000000043,7,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO PARA EL PUEBLO                                                                                                                                                                               ","MPP                                               ","43        "
"79",70000000044,7,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO CIVICO FUERZA ORENSE                                                                                                                                                                         ","MCFO                                              ","44        "
"80",70000000201,7,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA UNION NACIONAL UNO / MOVIMIENTO CIVICO INDEPENDIENTE                                                                                                                                            ","UN - UNO/MCI                                      ","1-41      "
"81",70000000202,7,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA LIBERAL RADICAL ECUATORIANO /ALFARISMO NACIONAL                                                                                                                                                 ","PLRE/AN                                           ","2-14      "
"82",70000000203,7,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIEDAD PATRIOTICA 21 DE ENERO/MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK - NUEVO PAIS / MOVIMIENTO PUEBLO PARA EL PUEBLO                                                                      ","PSP/MUPP-NP /MPP                                  ","3-18-43   "
"83",73500000045,7,350,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","                                                                                                                                                                                                        ","                                                  ","45        "
"84",73550000204,7,355,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","MCNP /UN - UNO                                    ","21-1      "
"85",73550000205,7,355,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO CIUDADANOS NUEVO PAIS/MOVIMIENTO CIVICO INDEPENDIENTE/UNION NACIONAL -UNO                                                                                                            ","MCNP /MCI /UN - UNO                               ","21-41-1   "
"86",75850000206,7,585,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA POPULAR CHILLA 2002                                                                                                                                                                             ","ID - MPDID /MPD                                   ","12-15     "
"87",76900000207,7,690,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA                                                                                                                                                                                                 ","PRE /DP-UDC                                       ","10-5      "
"88",76950000042,7,695,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","                                                                                                                                                                                                        ","FIMA                                              ","42        "
"89",77050000208,7,705,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA DEMOCRACIA POPULAR- UNION DEMOCRATA CRISTIANA/IZQUIERDA DEMOCRATICA                                                                                                                             ","DP-UDC/ID                                         ","5-12      "
"90",78600000209,7,860,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA CONCENTRACION FUERZAS POPULARES / MOVIMIENTO PATRIA SOLIDARIA                                                                                                                                   ","CFP/MPS                                           ","4-24      "
